Total Time,Memory Usage,num_samples,num_features,dataset_size
70.7721939086914,448623917,638983,84,1195.434996
49.48752212524414,193515127,340022,67,508.034656
24.721211194992065,62003636,104674,70,163.352843
54.761066198349,276979369,731526,45,736.353913
33.469194412231445,91998879,503975,21,239.266672
31.182236194610596,106899466,224105,56,280.209991
80.8296685218811,522355845,652320,96,1393.85578
77.68858480453491,460872870,983994,55,1208.537263
62.64793109893799,322768977,872250,44,858.672197
59.17001485824585,321064348,673506,56,842.117252
18.43822956085205,18705176,56237,39,49.132797
44.2661874294281,210367866,458182,54,552.581564
47.5921950340271,243127815,329715,88,646.063089
56.33151292800903,297748710,841077,42,790.714135
55.64918780326843,299027125,508122,70,792.965626
58.62149453163147,310844586,688941,53,815.621361
64.34385299682617,664326111,535043,86,1024.692183
22.43909192085266,73491985,104162,42,97.924135
48.28144717216492,198291499,923669,25,520.389363
42.32427525520325,177238560,415618,50,464.410753
19.012942790985107,62101881,197877,10,45.708536
26.609047174453735,119204590,175587,40,157.293231
43.49534487724304,210731979,379277,66,558.27738
24.406368732452393,44427934,330927,15,113.112682
55.73713231086731,266829014,790381,40,708.024268
84.42395377159119,495348246,659903,99,1453.927141
25.882752656936646,54222754,261423,24,141.489722
49.042470932006836,210506748,798970,31,556.366003
55.779287815093994,273251334,920549,35,722.628748
44.56234264373779,203623914,251219,97,542.366157
26.76623034477234,141769224,219348,37,181.908318
50.729642391204834,253424834,551959,54,665.683209
79.96386885643005,500283832,900498,66,1325.49652
42.861916065216064,137351599,788286,20,356.775159
25.02087378501892,112037306,165033,40,147.833562
170.2228353023529,809616172,998800,69,1536.590604
56.177435874938965,282551324,856778,39,748.515711
28.756860733032227,82984291,233491,42,219.5138
26.389551162719727,66258534,308515,25,173.814532
31.525564670562744,93730651,334335,33,247.634994
26.831730842590332,67524800,248129,32,178.283739
32.85129523277283,99252197,428690,27,260.515785
21.989433526992798,81254308,133942,34,102.176179
77.68686938285828,469684870,952954,58,1233.779851
44.265578746795654,211823773,287263,88,562.883968
67.22825241088867,754812917,917339,51,1045.356365
30.02455425262451,74879951,376456,23,195.409335
26.85064387321472,51708057,411457,14,131.518115
78.40088057518005,487146073,858522,67,1282.730479
43.10790944099426,124947368,934390,15,319.369276
20.67831254005432,26356021,174864,17,67.517758
45.82059383392334,196822893,645164,36,520.747322
54.27732563018799,270797987,765077,42,719.264776
76.88971042633057,488193560,764918,76,1295.432285
54.44698691368103,242567229,981362,29,639.878437
50.93269634246826,238545424,604301,47,635.06368
72.95994520187378,463274495,725766,76,1229.129463
29.501442193984985,83378519,100680,99,221.820021
80.75489544868469,863149033,612936,99,1350.439697
70.52090311050415,424919358,688943,73,1120.963285
40.83307456970215,113418298,965278,13,287.141715
41.10178208351135,184558241,379442,57,482.844776
73.07257890701294,793424409,838441,61,1141.238813
79.01982641220093,476391815,865927,65,1255.428802
18.48666548728943,21494081,38214,66,56.25007
26.745765209197998,70314413,218279,38,185.861135
28.46948218345642,55167375,504230,12,138.818464
83.2853136062622,868536839,860261,71,1361.589226
32.46604657173157,104681123,219251,56,274.14494
23.15639591217041,83976847,81506,68,123.584719
64.02977538108826,369072898,671069,65,972.914416
41.69115686416626,179150771,315561,67,471.483465
18.770540237426758,22639397,73605,36,59.407818
186.40726947784424,729961037,881995,92,1806.425936
32.975646018981934,108029068,160372,80,285.816039
20.03750467300415,26117300,89613,34,68.361962
69.46062469482422,412542966,609108,81,1099.049429
50.254579305648804,224378866,716313,37,594.049068
61.125361919403076,343833293,663707,61,903.417671
67.1613221168518,397805133,506743,94,1060.340284
43.37031531333923,199016602,277335,85,524.997315
64.40781569480896,683951351,598841,77,1027.439699
34.81275177001953,221465620,171084,90,342.815129
20.727131128311157,32729795,84065,46,86.482928
56.55141997337341,325508456,648958,59,854.574027
20.57147979736328,70792562,118274,33,87.603025
39.01433038711548,182298593,259497,84,485.469231
32.38128876686096,215876943,310837,41,285.330196
59.591808795928955,359946572,599581,71,948.991747
80.06070446968079,506755522,821693,73,1336.95752
24.555158853530884,126571592,237780,28,149.770067
47.03372311592102,170429719,934156,21,443.493525
32.989928245544434,212677691,337829,36,272.688291
35.55072593688965,111867628,614676,21,291.819077
48.46735596656799,222353957,728697,36,588.169148
66.82222867012024,749043162,938040,49,1027.36104
40.80730867385864,128868834,706209,21,335.277733
19.602377891540527,27278266,180363,17,69.640946
25.704834699630737,68750440,277477,29,180.923309
64.05466318130493,674793881,483166,98,1053.808353
18.688406705856323,24732087,68965,42,64.836579
13.34096908569336,4006667,32426,13,9.645618
48.515366315841675,258659056,336450,92,689.083295
28.50201106071472,145075094,138596,69,213.218148
22.48920464515686,97596483,160991,34,122.807432
24.96633005142212,120869819,157359,47,165.374116
70.08543801307678,734024899,719841,67,1075.525134
61.93052864074707,354078666,706033,59,929.731497
41.59614062309265,186713724,437466,50,488.816671
26.69943928718567,73115837,196972,44,193.907528
66.19050812721252,675718114,522173,90,1046.31931
